Index,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,weight_pounds,Price,Price-binned,Screen-Full_HD,Screen-IPS_panel,Screen-Full_HD,Screen-IPS_panel
27,HP,3,1,1,7,13.54,0.93,8,256,3.66,913,Low,True,False,True,False
28,HP,4,3,1,7,11.29,0.93,8,256,2.64,1421,Low,False,True,False,True
29,HP,3,3,1,5,12.15,0.86,6,256,3.56,837,Low,False,True,False,True
30,Asus,4,3,1,7,12.15,0.93,8,256,2.49,1515,Low,False,True,False,True
31,Lenovo,3,2,1,7,12.15,0.93,8,256,3.02,1880,Medium,False,True,False,True
32,Dell,4,2,1,5,11.29,0.55,8,256,2.32,2069,Medium,False,True,False,True
33,Asus,3,3,1,7,13.54,0.62,8,256,3.25,1420,Low,True,False,True,False
34,HP,3,2,1,5,15.02,0.55,8,256,4.79,1179,Low,True,False,True,False
35,Acer,4,2,1,7,12.15,0.62,8,256,3.06,1123,Low,False,True,False,True
36,Acer,3,3,1,3,13.54,0.93,4,256,4.21,727,Low,True,False,True,False
37,HP,3,2,1,7,12.15,0.62,8,256,3.12,1255,Low,True,False,True,False
38,HP,3,2,1,5,11.29,0.86,4,256,3.56,888,Low,False,True,False,True
39,Lenovo,3,1,1,5,12.15,0.55,8,256,3.35,1418,Low,False,True,False,True
40,Asus,4,2,1,7,12.15,0.62,8,256,2.39,1396,Low,True,False,True,False
41,HP,4,2,1,5,12.15,0.93,4,256,2.83,1374,Low,True,False,True,False
42,HP,3,1,1,5,13.54,0.55,6,256,3.66,786,Low,True,False,True,False
43,Acer,3,3,1,5,14.76,0.55,4,256,5.74,1023,Low,False,True,False,True
44,Dell,3,1,1,5,13.54,0.55,8,256,4.08,925,Low,True,False,True,False
45,Lenovo,1,3,1,7,13.02,0.97,16,256,4.79,1371,Low,False,True,False,True
46,Acer,3,3,1,5,14.76,0.55,8,256,5.74,1085,Low,False,True,False,True
47,Huawei,4,2,1,5,11.29,0.86,8,256,2.01,1714,Medium,False,True,False,True
48,HP,3,3,1,5,15.02,0.55,8,256,4.79,1172,Low,True,False,True,False
49,Dell,4,2,1,5,11.55,0.55,8,256,3.56,1777,Medium,True,False,True,False
50,Acer,4,2,1,5,11.29,0.41,8,256,2.14,1256,Low,False,True,False,True
51,HP,3,3,1,7,15.02,0.62,8,256,4.79,1327,Low,True,False,True,False
52,Dell,4,2,1,7,11.55,0.62,8,256,2.3,1841,Medium,True,False,True,False
53,Dell,4,1,1,7,11.29,0.62,8,256,2.68,1184,Low,False,True,False,True
54,HP,3,3,1,7,12.15,0.62,8,256,3.12,1310,Low,True,False,True,False
55,Dell,4,2,1,5,12.15,0.55,8,256,3.06,1460,Low,True,False,True,False
56,Dell,3,1,2,5,13.54,0.55,8,256,4.21,860,Low,True,False,True,False
57,Toshiba,4,2,1,7,11.55,0.86,8,256,2.3,1731,Medium,True,False,True,False
58,Acer,3,3,1,7,13.54,0.93,8,256,4.21,1057,Low,True,False,True,False
59,Asus,3,3,1,5,13.54,0.86,8,256,3.83,977,Low,True,False,True,False
60,Dell,3,2,1,5,12.15,0.86,8,256,3.06,1091,Low,True,False,True,False
61,Dell,3,1,2,7,13.54,0.93,16,256,3.56,1142,Low,True,False,True,False
62,Acer,1,3,1,5,13.02,0.86,8,256,4.79,1075,Low,False,True,False,True
63,Dell,1,3,1,5,13.54,0.86,8,256,4.9,1117,Low,True,False,True,False
64,Asus,1,3,1,7,15.02,1.0,16,256,6.89,3810,High,True,False,True,False
65,Acer,3,3,1,3,14.76,0.93,4,256,5.74,892,Low,False,True,False,True
66,Dell,4,2,1,5,11.55,0.55,8,256,2.7,1206,Low,True,False,True,False
67,Lenovo,3,2,1,7,13.54,0.62,8,256,3.92,1118,Low,True,False,True,False
68,Dell,3,1,2,7,13.54,0.62,8,256,3.56,934,Low,True,False,True,False
69,Lenovo,1,3,1,5,13.02,0.86,8,256,4.79,1053,Low,False,True,False,True
70,Lenovo,3,2,1,5,13.54,0.86,6,256,4.21,735,Low,True,False,True,False
71,Acer,3,3,1,7,13.02,0.62,8,256,5.74,1208,Low,False,True,False,True
72,Lenovo,3,2,1,7,13.02,0.93,8,256,3.73,1394,Low,False,True,False,True
73,Asus,4,3,1,5,13.54,0.86,8,256,3.25,1241,Low,True,False,True,False
74,Dell,3,3,1,7,13.54,0.97,8,256,3.83,2323,Medium,True,False,True,False
75,Lenovo,3,2,1,5,13.54,0.55,8,256,3.92,939,Low,True,False,True,False
76,Acer,3,3,2,7,13.54,0.97,8,256,4.79,1244,Low,True,False,True,False
77,Dell,5,3,1,7,15.02,1.0,16,256,6.55,3665,High,True,False,True,False
78,Toshiba,3,3,1,7,13.02,0.86,8,256,4.21,1325,Low,False,True,False,True
79,Lenovo,3,2,1,5,11.29,0.86,8,256,2.11,1269,Low,False,True,False,True
80,HP,3,2,1,5,12.15,0.86,8,256,3.73,1245,Low,True,False,True,False
81,HP,3,2,1,7,12.15,0.93,8,256,2.83,1641,Medium,True,False,True,False
82,Asus,3,2,1,7,12.15,0.93,8,256,3.83,1390,Low,True,False,True,False
83,Asus,4,3,1,7,13.54,0.93,8,256,3.25,1334,Low,True,False,True,False
84,HP,4,2,1,7,10.85,0.93,8,256,2.41,1696,Medium,True,False,True,False
85,Toshiba,3,2,1,5,13.02,0.86,8,256,3.83,1198,Low,False,True,False,True
86,Asus,1,3,1,7,13.54,0.97,8,256,4.79,1269,Low,True,False,True,False
87,HP,3,2,1,5,12.15,0.9,8,256,2.83,1611,Low,True,False,True,False
88,HP,3,2,1,5,13.54,0.86,8,256,3.52,1453,Low,True,False,True,False
89,Dell,3,3,1,5,13.54,0.55,8,256,3.83,1452,Low,True,False,True,False
90,Dell,4,2,1,7,11.55,0.62,8,256,2.3,2006,Medium,True,False,True,False
91,HP,3,2,1,7,13.54,0.93,8,256,3.52,1656,Medium,True,False,True,False
92,HP,5,3,1,7,13.54,0.97,8,256,4.98,2208,Medium,True,False,True,False
93,Dell,3,2,1,5,12.15,0.9,8,256,2.6,1813,Medium,True,False,True,False
94,Asus,3,2,1,5,12.15,0.86,8,256,3.83,1200,Low,True,False,True,False
95,Dell,3,1,1,7,13.54,0.93,8,256,4.46,1142,Low,True,False,True,False
96,HP,4,2,1,7,12.15,0.93,8,256,2.6,2223,Medium,False,True,False,True
97,Lenovo,3,3,1,5,12.15,0.86,8,256,2.87,1396,Low,False,True,False,True
98,Lenovo,3,2,1,3,11.29,0.83,4,128,2.87,697,Low,False,True,False,True
99,Dell,5,3,1,7,13.02,0.93,8,256,3.83,2712,Medium,False,True,False,True
100,MSI,1,3,1,7,15.02,0.97,8,256,5.17,1714,Medium,True,False,True,False
101,Dell,3,1,2,7,13.54,0.93,8,256,4.46,989,Low,True,False,True,False
102,Lenovo,3,1,1,7,13.02,0.62,8,256,4.02,1562,Low,False,True,False,True
103,Lenovo,3,2,1,5,12.15,0.86,8,256,3.64,1192,Low,False,True,False,True
104,Acer,3,3,2,7,13.54,0.97,8,256,4.79,1117,Low,True,False,True,False
105,Dell,3,1,2,5,13.54,0.86,4,256,4.4,761,Low,True,False,True,False
106,HP,4,2,1,7,12.15,0.86,8,256,2.74,1905,Medium,True,False,True,False
107,Lenovo,4,1,1,7,12.15,0.62,8,256,3.35,1544,Low,False,True,False,True
108,HP,3,2,1,7,13.54,1.0,8,256,4.42,1813,Medium,True,False,True,False
109,Dell,4,2,2,7,12.15,0.97,8,256,3.06,1396,Low,True,False,True,False
110,Lenovo,3,2,1,7,11.29,0.93,8,256,2.68,1283,Low,False,True,False,True
111,Lenovo,3,2,1,3,12.15,0.93,4,128,3.25,761,Low,False,True,False,True
112,Asus,3,2,2,5,13.54,0.86,4,256,3.83,710,Low,True,False,True,False
113,Dell,3,1,1,5,13.54,0.55,4,256,4.21,951,Low,True,False,True,False
114,Lenovo,4,2,1,5,10.42,0.86,8,256,2.6,1815,Medium,False,True,False,True
115,Dell,3,3,1,5,12.15,0.97,8,256,3.14,1498,Low,True,False,True,False
116,MSI,1,3,1,5,13.54,0.86,8,256,4.21,1306,Low,True,False,True,False
117,Dell,5,3,1,7,13.02,0.93,16,256,4.15,2509,Medium,False,True,False,True
118,Lenovo,3,2,1,5,12.15,0.86,8,256,3.16,1709,Medium,True,False,True,False
119,Lenovo,3,3,1,7,13.54,1.0,8,256,5.11,2655,Medium,True,False,True,False
120,Dell,4,2,1,5,13.54,0.55,8,256,2.72,2340,Medium,True,False,True,False
121,Dell,5,3,1,7,13.54,0.97,8,256,3.41,3059,High,True,False,True,False
122,Toshiba,3,2,1,5,11.29,0.86,8,256,2.01,2124,Medium,False,True,False,True
123,HP,3,2,1,5,11.29,0.55,4,128,2.85,922,Low,False,True,False,True
124,Lenovo,3,2,1,5,12.15,0.55,8,256,3.35,1333,Low,False,True,False,True
125,Lenovo,3,3,1,5,13.02,0.86,8,256,4.4,1286,Low,False,True,False,True
126,Lenovo,3,2,1,7,13.54,0.62,8,256,4.15,1142,Low,True,False,True,False
127,Lenovo,3,2,1,3,11.29,0.83,8,256,2.68,1206,Low,False,True,False,True
128,Lenovo,3,2,1,5,13.02,0.86,8,256,4.4,1157,Low,False,True,False,True
129,Lenovo,3,2,1,5,11.55,0.86,8,256,2.76,1206,Low,True,False,True,False
130,Dell,4,2,1,5,11.55,0.86,8,128,2.47,1142,Low,False,True,False,True
131,HP,3,3,1,5,13.54,0.86,8,256,3.9,1129,Low,True,False,True,False
132,HP,4,2,1,7,11.29,0.93,8,256,2.53,1777,Medium,False,True,False,True
133,Dell,3,2,1,5,12.15,0.9,8,256,3.14,1626,Medium,True,False,True,False
134,Lenovo,3,2,1,5,12.15,0.79,8,256,3.87,1702,Medium,True,False,True,False
135,Dell,3,2,1,5,13.54,0.97,8,256,3.64,1749,Medium,True,False,True,False
136,Dell,3,3,1,7,13.54,0.97,8,256,3.69,1739,Medium,True,False,True,False
137,Dell,3,1,1,5,13.54,0.55,8,256,4.21,1013,Low,True,False,True,False
138,Lenovo,3,3,1,7,12.15,0.93,8,256,3.58,1091,Low,False,True,False,True
139,Dell,3,2,1,3,12.15,0.69,4,128,3.06,935,Low,True,False,True,False
140,HP,3,2,1,3,13.54,0.83,4,128,4.02,896,Low,True,False,True,False
141,Lenovo,3,2,1,3,13.54,0.69,4,128,4.21,634,Low,True,False,True,False
142,Dell,3,2,1,5,13.54,0.86,8,256,3.64,1419,Low,True,False,True,False
143,Lenovo,3,2,1,3,13.54,0.93,4,128,3.92,800,Low,True,False,True,False
144,Lenovo,3,3,1,7,14.76,0.97,8,256,6.51,3810,High,False,True,False,True
145,Lenovo,3,2,1,5,13.54,0.86,8,256,4.4,1054,Low,True,False,True,False
146,Dell,3,1,2,7,13.54,0.93,8,256,4.21,951,Low,True,False,True,False
147,HP,3,2,1,3,11.55,0.83,4,128,2.85,913,Low,True,False,True,False
148,Dell,3,3,1,7,13.54,0.97,16,256,3.69,1953,Medium,True,False,True,False
149,Lenovo,4,2,1,7,12.15,0.9,12,256,2.68,2125,Medium,False,True,False,True
150,Lenovo,3,2,1,5,12.15,0.86,8,256,3.25,1872,Medium,False,True,False,True
151,Dell,5,3,1,7,13.54,0.97,8,256,3.94,2240,Medium,True,False,True,False
152,HP,3,2,1,7,13.54,0.93,8,256,3.52,1548,Low,True,False,True,False
153,Toshiba,3,2,1,7,13.02,0.86,8,256,4.21,1777,Medium,False,True,False,True
154,Dell,3,1,2,5,13.54,0.86,4,128,4.17,723,Low,True,False,True,False
155,Lenovo,3,2,1,5,12.15,0.79,8,256,3.16,1861,Medium,True,False,True,False
156,Dell,3,3,1,7,13.54,0.97,8,256,3.83,2312,Medium,True,False,True,False
157,Lenovo,3,2,1,5,13.54,0.55,4,256,3.45,1053,Low,True,False,True,False
158,Acer,4,2,1,5,12.15,0.86,8,256,3.45,1167,Low,False,True,False,True
159,Razer,1,3,1,7,12.15,0.97,16,256,3.73,3301,High,True,False,True,False
160,Toshiba,3,2,1,5,11.55,0.79,8,256,2.3,1541,Low,True,False,True,False
161,Lenovo,4,2,1,7,10.42,0.93,8,256,2.6,2012,Medium,False,True,False,True
162,Dell,4,2,1,5,11.55,0.55,8,256,2.3,1842,Medium,True,False,True,False
163,Dell,3,1,1,7,13.54,0.62,8,256,4.21,1167,Low,True,False,True,False
164,Dell,3,2,1,5,12.15,0.83,8,256,2.99,1561,Low,True,False,True,False
165,Toshiba,3,2,1,5,13.02,0.86,8,256,3.83,1598,Low,False,True,False,True
166,Asus,4,2,1,5,12.15,0.86,8,256,2.11,1442,Low,True,False,True,False
167,Acer,1,3,1,5,13.54,0.86,16,256,4.79,1650,Medium,True,False,True,False
168,MSI,1,3,1,5,13.54,0.86,8,256,4.21,1268,Low,True,False,True,False
169,HP,3,1,1,3,14.76,0.69,4,256,4.79,888,Low,False,True,False,True
170,Lenovo,3,2,1,5,12.15,0.86,4,256,3.25,888,Low,True,False,True,False
171,Toshiba,3,2,1,5,11.29,0.86,8,256,2.87,1236,Low,False,True,False,True
172,Dell,3,2,1,5,13.54,0.86,8,256,4.17,1010,Low,True,False,True,False
173,Lenovo,3,2,1,5,12.15,0.79,8,256,3.45,1513,Low,True,False,True,False
174,Dell,3,3,2,5,12.15,0.97,8,256,3.14,1383,Low,True,False,True,False
175,Lenovo,3,3,1,5,12.15,0.86,8,256,3.58,1089,Low,False,True,False,True
176,Dell,3,2,1,5,13.54,0.9,8,256,3.64,1498,Low,True,False,True,False
177,HP,3,3,1,7,15.02,0.93,8,256,5.03,1524,Low,True,False,True,False
178,Lenovo,4,2,1,5,12.15,0.86,8,256,2.53,1904,Medium,False,True,False,True
179,Lenovo,3,2,1,5,11.29,0.86,8,256,2.76,1219,Low,False,True,False,True
180,HP,5,3,1,7,13.54,0.97,16,256,4.98,3073,High,True,False,True,False
181,Toshiba,3,2,1,5,12.15,0.86,8,256,2.39,1950,Medium,False,True,False,True
182,Samsung,4,2,1,7,11.55,0.93,16,256,1.55,2095,Medium,True,False,True,False
183,HP,3,2,1,3,13.54,0.69,8,256,3.56,685,Low,True,False,True,False
184,HP,3,2,1,5,13.54,0.83,8,256,3.52,2414,Medium,True,False,True,False
185,HP,5,3,1,7,13.54,0.9,8,256,4.96,1983,Medium,True,False,True,False
186,Dell,4,2,1,7,10.85,0.97,16,256,2.26,2361,Medium,True,False,True,False
187,Samsung,4,2,1,7,13.54,0.93,8,256,2.51,2031,Medium,True,False,True,False
188,Dell,3,1,1,7,13.54,0.93,16,256,4.4,1501,Low,True,False,True,False
189,Acer,3,2,1,3,12.15,0.83,4,128,3.45,808,Low,False,True,False,True
190,Dell,1,3,1,5,13.54,0.86,8,256,5.02,1251,Low,True,False,True,False
191,Dell,3,1,1,3,13.54,0.69,8,256,3.83,939,Low,True,False,True,False
192,HP,5,3,1,7,13.54,0.97,8,256,6.01,2623,Medium,True,False,True,False
193,Asus,3,2,1,5,13.54,0.86,8,256,4.54,1396,Low,True,False,True,False
194,Dell,4,2,1,5,11.55,0.86,8,256,2.47,1904,Medium,True,False,True,False
195,Samsung,4,2,1,5,11.55,0.86,8,256,1.55,1904,Medium,True,False,True,False
196,Dell,3,1,1,5,13.54,0.86,8,256,4.17,1003,Low,True,False,True,False
197,Lenovo,4,2,1,7,12.15,0.93,8,256,2.53,2361,Medium,True,False,True,False
198,MSI,1,3,1,5,13.54,0.86,8,256,4.59,1523,Low,True,False,True,False
199,Acer,3,2,1,3,12.15,0.83,8,128,2.87,786,Low,False,True,False,True
200,Lenovo,3,2,1,5,12.15,0.79,8,256,3.25,1507,Low,True,False,True,False
201,Lenovo,3,2,1,5,12.15,0.9,8,256,2.53,2096,Medium,False,True,False,True
202,Dell,3,1,1,7,13.54,0.93,4,256,4.17,939,Low,True,False,True,False
203,Lenovo,4,3,1,7,12.15,0.97,8,256,3.75,2417,Medium,False,True,False,True
204,Asus,3,3,1,7,13.02,0.93,8,256,4.4,1000,Low,False,True,False,True
205,Dell,3,2,1,5,13.54,0.86,8,128,3.64,1200,Low,True,False,True,False
206,HP,3,1,1,5,13.54,0.9,8,256,3.52,1714,Medium,True,False,True,False
207,Toshiba,3,2,1,5,11.55,0.86,4,128,2.01,1632,Medium,True,False,True,False
208,Acer,3,2,1,5,12.15,0.86,8,256,2.99,1146,Low,False,True,False,True
209,Toshiba,3,2,1,7,13.02,0.93,8,256,3.83,1763,Medium,False,True,False,True
210,Samsung,4,3,1,7,13.02,0.93,16,256,2.35,2349,Medium,True,False,True,False
211,Dell,4,2,1,7,10.85,0.97,8,256,3.06,2147,Medium,True,False,True,False
212,Xiaomi,4,3,1,5,11.29,0.79,8,256,2.45,1188,Low,False,True,False,True
213,HP,3,2,1,5,13.54,0.86,4,256,3.9,1066,Low,True,False,True,False
214,HP,3,2,1,5,12.15,0.86,4,128,3.73,1607,Low,True,False,True,False
215,Samsung,4,2,1,7,13.02,0.93,8,256,2.24,2158,Medium,True,False,True,False
216,Lenovo,4,2,1,5,12.15,0.86,8,256,2.53,2285,Medium,False,True,False,True
217,Toshiba,3,2,1,5,11.55,0.86,8,256,2.01,1874,Medium,True,False,True,False
218,Dell,3,2,1,5,12.15,0.97,8,256,3.06,1531,Low,True,False,True,False
219,Lenovo,3,3,1,7,13.54,0.93,6,256,4.21,1002,Low,True,False,True,False
220,HP,3,3,1,7,13.54,0.93,8,256,3.9,1294,Low,True,False,True,False
221,Lenovo,3,2,1,5,11.55,0.86,4,128,2.76,1119,Low,True,False,True,False
222,HP,3,2,1,5,11.55,0.86,8,256,2.85,1219,Low,True,False,True,False
223,HP,4,1,1,7,13.54,0.86,8,256,3.52,1648,Medium,True,False,True,False
224,Toshiba,3,3,1,7,13.02,0.9,16,256,4.59,2509,Medium,False,True,False,True
225,Lenovo,4,2,1,7,10.42,0.93,8,256,2.6,2096,Medium,False,True,False,True
226,HP,3,2,1,5,13.54,0.79,8,256,4.42,1480,Low,True,False,True,False
227,Toshiba,3,2,1,5,12.15,0.79,4,128,2.81,1404,Low,False,True,False,True
228,HP,2,2,1,5,10.85,0.79,8,256,2.41,2120,Medium,True,False,True,False
229,Dell,4,2,1,5,12.15,0.86,8,256,2.6,2082,Medium,True,False,True,False
230,Dell,4,2,1,5,13.54,0.86,8,256,2.6,1870,Medium,True,False,True,False
231,Dell,4,2,1,7,12.15,0.97,8,256,2.6,2255,Medium,True,False,True,False
232,Toshiba,3,2,1,5,11.55,0.79,8,256,2.3,1855,Medium,True,False,True,False
233,Lenovo,4,2,1,7,12.15,0.9,8,256,3.25,1891,Medium,False,True,False,True
234,Toshiba,3,2,1,5,11.55,0.83,8,256,2.3,1950,Medium,True,False,True,False
235,Lenovo,4,2,1,5,10.42,0.9,8,256,2.6,2236,Medium,False,True,False,True
236,Lenovo,3,3,1,5,13.54,0.86,6,256,4.59,883,Low,True,False,True,False
237,Toshiba,3,2,1,5,12.15,0.79,8,256,3.73,1499,Low,True,False,True,False
